City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Dudinka,RU,69.4058,86.1778,31.62,96,100,6.58,overcast clouds
155,Beringovskiy,RU,63.05,179.3167,25.48,53,74,2.86,broken clouds
156,Batsfjord,NO,70.6345,29.7185,39.13,87,89,29.93,overcast clouds
157,Sola,VU,-13.8833,167.55,86.67,70,90,0.0,overcast clouds
158,Ryotsu,JP,38.0833,138.4333,57.49,59,100,3.18,overcast clouds
159,Mehamn,NO,71.0357,27.8492,40.95,87,75,18.41,light intensity drizzle
160,Owase,JP,34.0667,136.2,71.37,61,60,2.39,broken clouds
161,Olafsvik,IS,64.8945,-23.7142,43.86,69,76,11.79,broken clouds
162,San Rafael Del Sur,NI,11.8485,-86.4384,79.77,89,100,3.13,overcast clouds
163,Kruisfontein,ZA,-34.0033,24.7314,58.89,92,11,4.7,few clouds
164,Namibe,AO,-15.1961,12.1522,65.3,90,36,6.85,scattered clouds
165,Kavieng,PG,-2.5744,150.7967,83.14,75,80,15.14,light rain
166,Sitka,US,57.0531,-135.33,58.89,72,0,3.44,clear sky
167,Upington,ZA,-28.4478,21.2561,68.38,60,0,5.75,clear sky
168,Worland,US,44.0169,-107.9554,56.88,53,0,4.61,clear sky
169,Porbandar,IN,21.6422,69.6093,79.41,42,24,4.65,few clouds
170,Lebu,CL,-37.6167,-73.65,53.24,96,100,6.82,overcast clouds
171,Urengoy,RU,65.9667,78.3667,36.09,99,100,5.91,overcast clouds
172,Rawson,AR,-43.3002,-65.1023,58.32,62,0,24.49,clear sky
173,Gravdal,NO,68.1214,13.5031,42.48,67,100,13.89,overcast clouds
174,Dingle,PH,10.9995,122.6711,81.73,78,100,9.98,overcast clouds
175,Newcastle,AU,-32.9272,151.7765,69.57,74,40,12.66,scattered clouds
176,Charters Towers,AU,-20.1,146.2667,87.42,42,11,17.52,few clouds
177,Aklavik,CA,68.2191,-135.0107,27.1,91,100,4.16,overcast clouds
178,Jerome,US,42.7241,-114.5186,66.67,23,0,0.0,clear sky
179,La Ronge,CA,55.1001,-105.2842,43.93,43,0,12.57,clear sky
180,Wote,KE,-1.7808,37.6288,64.8,86,99,5.01,overcast clouds
181,Nikolskoye,RU,59.7035,30.7861,48.09,90,100,7.23,overcast clouds
182,Parrsboro,CA,45.4001,-64.332,59.68,76,100,10.13,light rain
183,Pitimbu,BR,-7.4706,-34.8086,77.59,79,94,12.03,overcast clouds
184,Neryungri,RU,56.6709,124.6491,24.12,87,91,5.35,overcast clouds
