City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Tara,RU,37.2,overcast clouds,56.8944,74.371,Medved'
194,Arrifes,PT,55.65,thunderstorm,37.7667,-25.7,Hotel Ponta Delgada
195,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
196,Puerto Leguizamo,CO,76.1,overcast clouds,-0.1934,-74.7819,la casona de juancho
197,Honningsvag,NO,42.55,light rain,70.9821,25.9704,Nordkapp Vandrerhjem
199,Gotsu,JP,57.52,overcast clouds,35.0,132.2167,Yurusato
200,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
201,Rocha,UY,55.0,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
203,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
204,Pisco,PE,60.85,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
205,Ayni,TJ,52.61,overcast clouds,39.3941,68.5377,Dilovars Homestay
207,Powell River,CA,62.33,smoke,49.8496,-124.5361,Rodmay Hotel
208,Benguela,AO,73.76,few clouds,-12.5763,13.4055,Hotel Praia Morena
211,Mouzouras,GR,64.4,light rain,35.5333,24.15,Areti Suites
212,Iqaluit,CA,29.7,overcast clouds,63.7506,-68.5145,Frobisher Inn
213,Conceicao Do Araguaia,BR,84.33,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
214,Igarka,RU,32.18,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
215,Aromashevo,RU,38.84,overcast clouds,56.8602,68.6375,Gostinitsa
216,Chapleau,CA,30.29,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
217,Lakes Entrance,AU,66.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
218,Aviles,ES,61.99,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
219,Rabo De Peixe,PT,56.71,thunderstorm,37.8,-25.5833,Quinta das Giestas
220,Lompoc,US,72.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
221,East London,ZA,66.63,overcast clouds,-33.0153,27.9116,Tu Casa
222,Kintampo,GH,73.53,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
223,General Roca,AR,65.62,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
225,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
226,Port Hardy,CA,55.58,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
227,Cape Town,ZA,63.91,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
229,Barra Do Garcas,BR,81.72,few clouds,-15.89,-52.2567,Pousada Tropical
230,Bengkulu,ID,77.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
231,Mezen,RU,42.82,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
233,Talnakh,RU,31.21,light snow,69.4865,88.3972,Talnakh Hotel
235,Nemuro,JP,49.41,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
237,Shetpe,KZ,50.63,overcast clouds,44.1667,52.1167,Нұрберген Абыл
238,Cidreira,BR,64.24,moderate rain,-30.1811,-50.2056,Hotel Castelo
239,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
240,Novobureyskiy,RU,35.89,clear sky,49.798,129.8774,-
241,Nurota,UZ,52.0,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
242,Muzhi,RU,37.9,overcast clouds,65.3667,64.6667,Gostinitsa
243,Mitsamiouli,KM,74.5,clear sky,-11.3847,43.2844,Foyer ADM
244,Rybnik,PL,58.24,broken clouds,50.0971,18.5418,Hotel Politański
245,Tarauaca,BR,73.15,light rain,-8.1614,-70.7656,Flat Temporada
246,Port Lincoln,AU,58.12,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
247,Palmdale,US,81.88,clear sky,34.5794,-118.1165,Courtyard by Marriott Palmdale
248,Akalgarh,IN,70.2,clear sky,29.8167,75.8833,Varun Saini Home
249,Yar-Sale,RU,34.81,broken clouds,66.8333,70.8333,Yalemd
250,Ayan,RU,37.09,overcast clouds,56.45,138.1667,Gostinitsa
251,Dunedin,NZ,52.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
252,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
253,Vanimo,PG,84.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
254,San Patricio,US,71.46,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
255,Oriximina,BR,73.99,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
256,Cayenne,GF,77.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
257,Kutum,SD,71.55,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
258,Ostersund,SE,39.65,few clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
259,Borodyanka,UA,51.51,broken clouds,50.6448,29.9201,"Country club, hotel and restaurant ""Four seasons"""
260,Alexandria,EG,71.65,scattered clouds,31.2156,29.9553,Royal Crown Hotel
261,Bowen,AU,79.25,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
262,Bac Lieu,VN,79.95,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
263,Broome,US,49.17,scattered clouds,42.2506,-75.833,Chenango Valley State Park
264,Rio Grande,BR,62.38,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
265,Shahr-E Babak,IR,58.64,clear sky,30.1165,55.1186,سلاطین مس و نقره
267,Kunming,CN,48.13,few clouds,25.0389,102.7183,昆明佳华广场酒店
268,Baruun-Urt,MN,32.36,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
269,Chabahar,IR,78.93,overcast clouds,25.2919,60.643,هتل گدروشیا
270,Paita,PE,63.25,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
271,Nanchong,CN,68.2,overcast clouds,30.7951,106.0847,Marine Una Century Hotel
272,Kilindoni,TZ,75.88,clear sky,-7.9139,39.6668,Bustani B&B
273,Villa Union,MX,83.01,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
274,Sur,OM,78.42,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
275,Clearwater,US,79.92,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
276,Whakatane,NZ,71.89,clear sky,-37.9585,176.9854,Pacific Coast Motel
277,Agara,GE,56.95,light rain,42.0376,43.8238,Silk Road Hotel
278,Asfi,MA,72.64,overcast clouds,32.2994,-9.2372,Hôtel Abda
279,La Fria,VE,78.91,overcast clouds,8.2203,-72.2439,Estacionamiento de los toledos.
280,Mahenge,TZ,57.94,clear sky,-8.6833,36.7167,Mahenge ulanga
281,Lishui,CN,59.05,overcast clouds,28.4604,119.9103,Bayi Hotel
283,Port Keats,AU,88.7,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
284,Itauna,BR,71.83,overcast clouds,-20.0753,-44.5764,Hotel Ponto Chic
285,Daru,PG,81.68,overcast clouds,-9.0763,143.2092,Daru Lodge
286,Kirkwall,GB,50.05,overcast clouds,58.9848,-2.9587,Kirkwall Hotel
287,Tiksi,RU,11.37,overcast clouds,71.6872,128.8694,Arktika
288,Ilulissat,GL,41.02,broken clouds,69.2167,-51.1,Hotel Arctic
289,De Aar,ZA,65.93,overcast clouds,-30.6497,24.0123,Nyibiba Guesthouse
290,Ribeira Grande,PT,56.77,light rain,38.5167,-28.7,Quinta da Meia Eira
291,El Cope,PA,68.72,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
292,Sarangani,PH,83.68,light rain,5.4033,125.4636,JVL Inn and Cafeteria
294,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
295,Pokrovskoye,RU,46.31,clear sky,47.4157,38.8971,Тихий уголок
297,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
298,Chapais,CA,46.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
300,Alibag,IN,80.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
303,Tabas,IR,68.22,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
304,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
306,Palmer,US,57.85,overcast clouds,42.1584,-72.3287,Wedgewood Motel
307,Porto Novo,BJ,76.86,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
308,Riyadh,SA,68.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
309,Pakxan,LA,72.75,few clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
310,Grindavik,IS,36.07,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
312,Margate,GB,52.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
313,Batagay,RU,11.61,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
314,Kineta,GR,66.25,clear sky,37.9709,23.2183,Hotel Sun
315,Saint-Joseph,RE,64.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
316,Barra Velha,BR,67.91,overcast clouds,-26.6322,-48.6847,Vila Alaíde Praia Hotel
317,Flinders,AU,66.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
318,Ishikari,JP,53.82,broken clouds,43.2397,141.3539,ザ・吉岡
319,Ravensburg,DE,55.08,broken clouds,47.7833,9.6167,REBGARTEN Hotel Zwergerstr. Garni
321,Luganville,VU,85.62,clear sky,-15.5333,167.1667,The Espiritu Hotel
322,Waingapu,ID,85.8,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
323,Te Anau,NZ,50.86,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
324,Tuatapere,NZ,50.85,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
325,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
327,Kolosovka,RU,38.77,overcast clouds,56.4678,73.611,Kolosovskaya Gostinitsa
328,Bambanglipuro,ID,80.04,light rain,-7.95,110.2833,Puri Brata
331,Koumac,NC,80.4,clear sky,-20.5667,164.2833,Le Monitel
332,Huilong,CN,61.48,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
333,West Plains,US,44.91,clear sky,36.7281,-91.8524,West Plains Motel
334,Brasileia,BR,77.13,scattered clouds,-11.0161,-68.7481,Pousada Tobias
335,Umm Lajj,SA,81.0,few clouds,25.0213,37.2685,Moon light Furnished Units
336,Westport,US,62.42,light rain,41.1415,-73.3579,The Westport Inn
337,Qasigiannguit,GL,41.25,light rain,68.8193,-51.1922,Almost HOME
339,Salinopolis,BR,80.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
340,Ubatuba,BR,70.92,broken clouds,-23.4339,-45.0711,Hotel Coquille
341,Bukoba,TZ,63.0,overcast clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
342,Pangnirtung,CA,25.5,light snow,66.1451,-65.7125,Kilabuk Lodge
345,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
346,Carauari,BR,73.45,moderate rain,-4.8828,-66.8958,Hotel Fellip
347,Nampula,MZ,69.75,clear sky,-15.1165,39.2666,Ruby Backpackers
348,Zhezkazgan,KZ,30.18,scattered clouds,47.8043,67.7144,Hotel Zumrat
349,Cradock,ZA,60.6,clear sky,-32.1642,25.6192,Die Hoekhuis
351,Port-Gentil,GA,78.8,moderate rain,-0.7193,8.7815,Fengshui Residence
353,Iba,PH,82.26,overcast clouds,15.3667,120.0333,Rancho Relaxo
354,Port Elizabeth,ZA,63.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
355,Tayoltita,MX,68.76,light rain,24.0833,-105.9333,Hotel La Mina Tayoltita
356,Najran,SA,63.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
