City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,San Quintin,MX,2022-10-16 22:07:56,30.4833,-115.95,70.47,68,0,13.94
210,Cockburn Town,TC,2022-10-16 22:07:57,21.4612,-71.1419,81.93,72,80,6.82
211,Banjar,ID,2022-10-16 22:07:57,-8.19,114.9675,76.71,91,93,6.06
212,Nanortalik,GL,2022-10-16 22:07:57,60.1432,-45.2371,35.37,74,3,10.04
213,Birjand,IR,2022-10-16 22:07:58,32.8663,59.2211,61.02,22,0,8.61
214,East London,ZA,2022-10-16 22:07:58,-33.0153,27.9116,66.22,91,100,13.58
215,Touros,BR,2022-10-16 22:07:58,-5.1989,-35.4608,77.65,79,6,17.94
216,Cayenne,GF,2022-10-16 22:07:59,4.9333,-52.3333,82.44,74,0,3.44
217,Key West,US,2022-10-16 22:04:59,24.5557,-81.7826,86.0,76,0,9.22
218,Aden,YE,2022-10-16 22:07:59,12.7794,45.0367,83.41,71,0,15.7
219,Ancud,CL,2022-10-16 22:08:00,-41.8697,-73.8203,64.22,79,95,4.61
220,Troitskoye,RU,2022-10-16 22:08:00,52.9821,84.6757,49.62,49,100,2.89
221,San Andres,CO,2022-10-16 22:08:00,12.5847,-81.7006,86.02,70,40,12.66
222,Kuvshinovo,RU,2022-10-16 22:08:01,57.0295,34.1725,45.45,71,100,13.8
223,Yerbogachen,RU,2022-10-16 22:08:01,61.2767,108.0108,25.57,91,28,5.19
224,Renqiu,CN,2022-10-16 22:08:01,38.6989,116.0936,47.73,19,16,9.4
225,Vohibinany,MG,2022-10-16 22:08:02,-17.35,49.0333,62.47,96,23,1.41
226,Vanavara,RU,2022-10-16 22:08:02,60.34,102.2797,25.38,85,57,3.94
227,Eureka,US,2022-10-16 22:09:03,40.8021,-124.1637,71.67,72,3,1.99
228,Hazorasp,UZ,2022-10-16 22:09:03,41.3194,61.0742,58.84,38,87,10.67
229,Puksoozero,RU,2022-10-16 22:09:04,62.5903,40.6066,44.28,95,79,9.75
230,Puga,MX,2022-10-16 22:09:04,21.5833,-104.8167,80.67,83,75,9.22
231,Westport,US,2022-10-16 22:09:04,41.1415,-73.3579,64.94,68,0,9.22
232,Oktyabrskiy,RU,2022-10-16 22:09:05,54.4815,53.471,42.6,78,99,4.29
233,Plettenberg Bay,ZA,2022-10-16 22:09:05,-34.0527,23.3716,65.59,86,100,4.63
234,Tutoia,BR,2022-10-16 22:09:06,-2.7619,-42.2744,79.61,79,0,11.16
235,Gorontalo,ID,2022-10-16 22:09:06,0.5412,123.0595,75.69,94,39,2.37
236,Hearst,CA,2022-10-16 22:09:07,49.6835,-83.6665,39.61,89,99,3.76
237,Sampit,ID,2022-10-16 22:09:07,-2.5333,112.95,75.0,98,100,1.23
238,Talnakh,RU,2022-10-16 22:09:08,69.4865,88.3972,29.21,94,100,8.1
239,Gazli,UZ,2022-10-16 22:09:08,40.1333,63.45,63.48,34,74,10.11
240,Sorland,NO,2022-10-16 22:09:09,67.667,12.6934,46.26,77,58,11.43
241,Tessalit,ML,2022-10-16 22:09:10,20.1986,1.0114,84.58,13,63,12.19
242,Kaitangata,NZ,2022-10-16 22:09:10,-46.2817,169.8464,55.67,52,35,6.26
243,Faanui,PF,2022-10-16 22:09:11,-16.4833,-151.75,78.89,67,10,14.76
244,Morant Bay,JM,2022-10-16 22:09:11,17.8815,-76.4093,85.62,77,24,9.93
245,Cidreira,BR,2022-10-16 22:09:12,-30.1811,-50.2056,64.18,97,79,8.81
246,Rongcheng,CN,2022-10-16 22:09:12,30.634,117.8517,56.1,78,11,4.56
247,Rocha,UY,2022-10-16 22:09:12,-34.4833,-54.3333,56.64,93,84,12.64
248,Ahipara,NZ,2022-10-16 22:09:13,-35.1667,173.1667,63.46,75,88,7.65
249,Chingirlau,KZ,2022-10-16 22:09:13,51.095,54.0814,45.19,66,98,4.59
250,Labuhan,ID,2022-10-16 22:09:14,-6.8844,112.2051,78.49,81,99,13.04
